Date,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals
08/08/2015,Bournemouth,Aston Villa,0,1
08/08/2015,Chelsea,Swansea,2,2
08/08/2015,Everton,Watford,2,2
08/08/2015,Leicester,Sunderland,4,2
08/08/2015,Man United,Tottenham,1,0
08/08/2015,Norwich,Crystal Palace,1,3
09/08/2015,Arsenal,West Ham,0,2
09/08/2015,Newcastle,Southampton,2,2
09/08/2015,Stoke,Liverpool,0,1
10/08/2015,West Brom,Man City,0,3
14/08/2015,Aston Villa,Man United,0,1
15/08/2015,Southampton,Everton,0,3
15/08/2015,Sunderland,Norwich,1,3
15/08/2015,Swansea,Newcastle,2,0
15/08/2015,Tottenham,Stoke,2,2
15/08/2015,Watford,West Brom,0,0
15/08/2015,West Ham,Leicester,1,2
16/08/2015,Crystal Palace,Arsenal,1,2
16/08/2015,Man City,Chelsea,3,0
17/08/2015,Liverpool,Bournemouth,1,0
22/08/2015,Crystal Palace,Aston Villa,2,1
22/08/2015,Leicester,Tottenham,1,1
22/08/2015,Man United,Newcastle,0,0
22/08/2015,Norwich,Stoke,1,1
22/08/2015,Sunderland,Swansea,1,1
22/08/2015,West Ham,Bournemouth,3,4
23/08/2015,Everton,Man City,0,2
23/08/2015,Watford,Southampton,0,0
23/08/2015,West Brom,Chelsea,2,3
24/08/2015,Arsenal,Liverpool,0,0
29/08/2015,Aston Villa,Sunderland,2,2
29/08/2015,Bournemouth,Leicester,1,1
29/08/2015,Chelsea,Crystal Palace,1,2
29/08/2015,Liverpool,West Ham,0,3
29/08/2015,Man City,Watford,2,0
29/08/2015,Newcastle,Arsenal,0,1
29/08/2015,Stoke,West Brom,0,1
29/08/2015,Tottenham,Everton,0,0
30/08/2015,Southampton,Norwich,3,0
30/08/2015,Swansea,Man United,2,1
12/09/2015,Arsenal,Stoke,2,0
12/09/2015,Crystal Palace,Man City,0,1
12/09/2015,Everton,Chelsea,3,1
12/09/2015,Man United,Liverpool,3,1
12/09/2015,Norwich,Bournemouth,3,1
12/09/2015,Watford,Swansea,1,0
12/09/2015,West Brom,Southampton,0,0
13/09/2015,Leicester,Aston Villa,3,2
13/09/2015,Sunderland,Tottenham,0,1
14/09/2015,West Ham,Newcastle,2,0
